#########################
# B -> J/psi K Mag Down
#########################
### baseline
PrChecker.Downs...   INFO **** Downstream                     425604 tracks including        135017 ghosts [31.7 %], Event average  25.7 % ****
PrChecker.Downs...   INFO                             UT+T :  257668 from   343868 [ 74.9 %]    519 clones [ 0.2 %], purity: 97.53 %, hitEff: 98.85 %
PrChecker.Downs...   INFO                        UT+T>5GeV :  170882 from   209864 [ 81.4 %]    471 clones [ 0.3 %], purity: 97.58 %, hitEff: 98.95 %
PrChecker.Downs...   INFO                     UT+T_strange :   26424 from    36232 [ 72.9 %]     35 clones [ 0.1 %], purity: 97.57 %, hitEff: 98.81 %
PrChecker.Downs...   INFO                UT+T_strange>5GeV :   16259 from    20590 [ 79.0 %]     30 clones [ 0.2 %], purity: 97.61 %, hitEff: 98.88 %
PrChecker.Downs...   INFO              noVelo+UT+T_strange :   14876 from    21195 [ 70.2 %]     21 clones [ 0.1 %], purity: 97.59 %, hitEff: 98.70 %
PrChecker.Downs...   INFO         noVelo+UT+T_strange>5GeV :    9848 from    12783 [ 77.0 %]     18 clones [ 0.2 %], purity: 97.65 %, hitEff: 98.83 %
PrChecker.Downs...   INFO                       UT+T_fromB :   33056 from    40655 [ 81.3 %]     57 clones [ 0.2 %], purity: 97.82 %, hitEff: 99.05 %
PrChecker.Downs...   INFO                  UT+T_fromB>5GeV :   26665 from    31284 [ 85.2 %]     55 clones [ 0.2 %], purity: 97.84 %, hitEff: 99.13 %
PrChecker.Downs...   INFO                noVelo+UT+T_fromB :    6045 from     8880 [ 68.1 %]      7 clones [ 0.1 %], purity: 97.79 %, hitEff: 98.75 %
PrChecker.Downs...   INFO           noVelo+UT+T_fromB>5GeV :    4434 from     5748 [ 77.1 %]      7 clones [ 0.2 %], purity: 97.81 %, hitEff: 98.95 %
PrChecker.Downs...   INFO                     UT+T_SfromDB :    7711 from     9758 [ 79.0 %]      9 clones [ 0.1 %], purity: 97.77 %, hitEff: 98.87 %
PrChecker.Downs...   INFO                UT+T_SfromDB>5GeV :    5779 from     6968 [ 82.9 %]      8 clones [ 0.1 %], purity: 97.83 %, hitEff: 99.00 %
PrChecker.Downs...   INFO              noVelo+UT+T_SfromDB :    5251 from     6783 [ 77.4 %]      4 clones [ 0.1 %], purity: 97.78 %, hitEff: 98.84 %
